Token Position,KV Cache Computation Time(ms)
455,4.673243
456,4.787207
457,4.705667
458,4.673004
459,4.740000
460,4.663467
461,4.661322
462,4.647732
463,4.704952
464,4.681110
465,4.651308
466,4.662991
467,4.690647
468,4.641294
469,4.662752
470,4.733086
471,4.638672
472,4.684448
473,4.694939
474,4.766941
475,4.673958
476,4.869223
477,4.892588
478,4.770994
479,4.662752
480,9.805918
481,4.876614
482,4.667997
483,4.680395
484,4.724979
485,5.703926
486,4.879713
487,4.822016
488,4.930735
489,4.911423
490,4.830360
491,4.858017
492,4.738092
493,4.784584
494,4.864216
495,4.848719
496,4.703045
497,4.801512
498,4.936457
499,4.713297
500,4.832745
501,4.794598
502,4.778147
503,4.884958
504,4.692554
505,4.788160
506,4.754305
507,4.845619
508,4.792690
509,5.241632
510,4.843235
511,4.772186
512,5.487680
513,4.845619
514,4.657745
515,4.776716
516,4.835367
517,4.800797
518,4.773140
519,4.807472
520,4.915714
521,4.819393
522,4.857302
523,4.805803
524,4.809856
525,4.829884
526,4.755020
527,4.885435
528,4.834652
529,4.898310
530,4.840374
531,4.914284
532,4.909754
533,4.681349
534,4.615545
535,4.898310
536,4.762888
537,4.738808
538,4.708767
539,4.697323
540,4.736900
541,4.768848
542,4.716158
543,4.748344
544,4.714727
545,4.707813
546,4.789829
547,4.719496
548,4.739285
549,4.866838
550,4.816532
551,4.717350
552,4.626274
553,4.639149
554,4.622936
555,4.691362
556,4.649878
557,4.670620
558,4.691362
559,4.649878
560,4.626274
561,4.655123
562,4.632950
563,4.639149
564,4.678488
565,4.637003
566,4.652023
567,4.649639
568,4.641771
569,4.642963
570,4.809856
571,4.735947
572,4.654884
573,5.525827
574,4.661083
575,4.759312
576,4.645348
577,4.629850
578,4.704475
579,4.677296
580,4.701614
581,4.688978
582,5.205393
583,4.693270
584,4.657507
585,4.649162
586,4.662275
587,4.683971
588,4.633427
589,4.620314
590,4.640818
591,4.691839
592,4.687548
593,4.626036
594,4.668474
595,4.646540
596,4.664660
597,4.651070
598,4.687548
599,4.672766
600,4.667521
601,4.652262
602,4.651070
603,4.642248
604,4.655123
605,4.732370
606,4.718304
607,4.704952
608,4.684687
609,4.667997
610,5.612373
611,4.691362
612,4.690409
613,4.711390
614,4.724026
615,4.683018
616,4.693508
617,4.676342
618,4.729033
619,4.693985
620,4.748106
621,4.690647
622,4.714727
623,4.739761
624,4.690886
625,4.654884
626,4.670382
627,4.661083
628,4.649878
629,4.654408
630,4.838943
631,4.675865
632,4.805565
633,4.664183
634,4.740000
635,4.700422
636,4.635334
637,4.801512
638,4.739046
639,4.679203
640,4.665613
641,4.696608
642,4.731894
643,4.725456
644,4.723549
645,4.784107
646,4.742384
647,4.692793
648,4.674435
649,4.709244
650,4.689693
651,4.653454
652,4.708290
653,4.656315
654,4.630804
655,4.643440
656,4.625320
657,4.638910
658,4.664898
659,4.695415
660,4.625797
661,4.651308
662,4.662991
663,4.650354
664,4.659176
665,4.652500
666,4.657269
667,4.617214
668,4.628181
669,4.687786
670,4.711628
671,4.709244
672,4.632950
673,4.698753
674,4.681826
675,4.671574
676,4.685879
677,4.668474
678,4.694223
679,4.690647
680,4.710913
681,4.641056
682,4.678488
683,4.683495
684,4.661083
685,4.648924
686,4.733801
687,4.644632
688,4.638433
689,4.714727
690,8.469105
691,4.683971
692,4.648924
693,4.640818
694,4.637957
695,4.683256
696,4.659653
697,4.673958
698,4.793644
699,4.712582
700,4.659653
701,4.675388
702,4.672289
703,4.691839
704,4.722357
705,4.665613
706,4.761219
707,4.693508
708,4.715919
709,4.692793
710,4.695892
711,4.692554
712,4.670620
713,4.662037
714,4.641771
715,4.656792
716,4.635334
717,4.660845
718,4.633665
719,4.635572
720,4.627705
721,4.672050
722,4.684687
723,4.661083
724,4.675388
725,4.723072
726,4.664898
727,4.683018
728,4.779100
729,4.713058
730,4.656076
731,4.646063
732,4.707813
733,4.719019
734,4.649639
735,4.669189
736,4.717827
737,4.734993
738,4.646063
739,4.644871
740,4.652977
